length=;1000;;x
x;y;yaw;
200;1000;180;
200;1004;179.28;
200;1008;178.56;
200;1011;177.84;
200;1015;177.12;
201;1019;176.4;
201;1023;175.68;
201;1026;174.96;
202;1030;174.24;
202;1034;173.52;
202;1038;172.8;
203;1041;172.08;
203;1045;171.36;
204;1049;170.64;
205;1053;169.92;
205;1056;169.2;
206;1060;168.48;
207;1064;167.76;
208;1067;167.04;
209;1071;166.32;
209;1075;165.6;
210;1078;164.88;
211;1082;164.16;
212;1086;163.44;
214;1089;162.72;
215;1093;162;
216;1096;161.28;
217;1100;160.56;
218;1103;159.84;
220;1107;159.12;
221;1110;158.4;
222;1114;157.68;
224;1117;156.96;
225;1121;156.24;
227;1124;155.52;
229;1128;154.8;
230;1131;154.08;
232;1135;153.36;
234;1138;152.64;
235;1141;151.92;
237;1145;151.2;
239;1148;150.48;
241;1151;149.76;
243;1154;149.04;
245;1158;148.32;
247;1161;147.6;
249;1164;146.88;
251;1167;146.16;
253;1170;145.44;
255;1173;144.72;
257;1176;144;
260;1179;143.28;
262;1182;142.56;
264;1185;141.84;
266;1188;141.12;
269;1191;140.4;
271;1194;139.68;
274;1197;138.96;
276;1200;138.24;
279;1203;137.52;
281;1205;136.8;
284;1208;136.08;
287;1211;135.36;
289;1213;134.64;
292;1216;133.92;
295;1219;133.2;
297;1221;132.48;
300;1224;131.76;
303;1226;131.04;
306;1229;130.32;
309;1231;129.6;
312;1234;128.88;
315;1236;128.16;
318;1238;127.44;
321;1240;126.72;
324;1243;126;
327;1245;125.28;
330;1247;124.56;
333;1249;123.84;
336;1251;123.12;
339;1253;122.4;
342;1255;121.68;
346;1257;120.96;
349;1259;120.24;
352;1261;119.52;
355;1263;118.8;
359;1265;118.08;
362;1266;117.36;
365;1268;116.64;
369;1270;115.92;
372;1271;115.2;
376;1273;114.48;
379;1275;113.76;
383;1276;113.04;
386;1278;112.32;
390;1279;111.6;
393;1280;110.88;
397;1282;110.16;
400;1283;109.44;
404;1284;108.72;
407;1285;108;
411;1286;107.28;
414;1288;106.56;
418;1289;105.84;
422;1290;105.12;
425;1291;104.4;
429;1291;103.68;
433;1292;102.96;
436;1293;102.24;
440;1294;101.52;
444;1295;100.8;
447;1295;100.08;
451;1296;99.36;
455;1297;98.64;
459;1297;97.92;
462;1298;97.2;
466;1298;96.48;
470;1298;95.76;
474;1299;95.04;
477;1299;94.32;
481;1299;93.6;
485;1300;92.88;
489;1300;92.16;
492;1300;91.44;
496;1300;90.72;
500;1300;90;
504;1300;89.28;
508;1300;88.56;
511;1300;87.84;
515;1300;87.12;
519;1299;86.4;
523;1299;85.68;
526;1299;84.96;
530;1298;84.24;
534;1298;83.52;
538;1298;82.8;
541;1297;82.08;
545;1297;81.36;
549;1296;80.64;
